"filename", "language", "Batch", "Julia", "CSV", "HTML", "JavaScript", "CSS", "TypeScript", "comment", "blank", "total"
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_21h-09-25.csv", "CSV", 0, 0, 340, 0, 0, 0, 0, 0, 1, 341
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_21h-17-00.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_21h-22-54.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_21h-24-28.csv", "CSV", 0, 0, 801, 0, 0, 0, 0, 0, 1, 802
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_21h-25-04.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-30_@_15h-32-51.csv", "CSV", 0, 0, 922, 0, 0, 0, 0, 0, 1, 923
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-02_@_13h-40-39.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-02_@_14h-09-59.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-02_@_14h-51-04.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-02_@_16h-59-53.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-02_@_19h-51-23.csv", "CSV", 0, 0, 329, 0, 0, 0, 0, 0, 1, 330
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-02_@_21h-09-19.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-03_@_16h-10-53.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-03_@_16h-17-52.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-03_@_20h-13-50.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-03_@_21h-56-59.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-03_@_21h-59-55.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-03_@_22h-09-52.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2025-01-03_@_22h-12-38.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OpenFlight.bat", "Batch", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\00_CSS_styles\styles.css", "CSS", 0, 0, 0, 0, 0, 28, 0, 0, 0, 28
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\1_exchange_aircraft_state_with_server\1.1_🔁_exchange_aircraft_state_to_server.js", "JavaScript", 0, 0, 0, 0, 79, 0, 0, 30, 28, 137
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\2_GUI\2.1_📟_gui.js", "JavaScript", 0, 0, 0, 0, 89, 0, 0, 5, 17, 111
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\3_joystick\3.1_🕹_joystick_gamepad.js", "JavaScript", 0, 0, 0, 0, 138, 0, 0, 53, 27, 218
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\4_geometry_and_world_objects\4.1_✈_aircraft_geometry.js", "JavaScript", 0, 0, 0, 0, 112, 0, 0, 24, 24, 160
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\4_geometry_and_world_objects\4.2_🌍_world_geometry.js", "JavaScript", 0, 0, 0, 0, 348, 0, 0, 156, 92, 596
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\4_geometry_and_world_objects\4.3_🔼_import_parameters_for_glb_aircraft.js", "JavaScript", 0, 0, 0, 0, 69, 0, 0, 1, 11, 81
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\5_draw_forces_and_velocities\5.1_📐_draw_forces_and_velocities.js", "JavaScript", 0, 0, 0, 0, 46, 0, 0, 11, 21, 78
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\6_MAIN_scene_and_render_engine\6.1_♻_MAIN_render_loop.js", "JavaScript", 0, 0, 0, 0, 30, 0, 0, 8, 16, 54
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\6_MAIN_scene_and_render_engine\6.2_🌄_create_scene.js", "JavaScript", 0, 0, 0, 0, 41, 0, 0, 1, 12, 54
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\6_MAIN_scene_and_render_engine\6.3_💡_create_lights_and_shadows.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 10, 15, 60
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\6_MAIN_scene_and_render_engine\6.4_🎦_create_cameras.js", "JavaScript", 0, 0, 0, 0, 75, 0, 0, 29, 18, 122
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\7_initializations\7.1_🧾_initializations.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 3, 17, 58
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylon.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 35225, 75157, 3202, 113584
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylon.gridMaterial.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylon.gui.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylon.inspector.bundle.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 2, 0, 3
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylon.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylon.objFileLoader.js", "JavaScript", 0, 0, 0, 0, 1080, 0, 0, 542, 61, 1683
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylon7.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylon_GUI.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylonjs.loaders.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylonjs.materials.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylonjs.proceduralTextures.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\babylonjs.serializers.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\js-yaml.js", "JavaScript", 0, 0, 0, 0, 2831, 0, 0, 248, 795, 3874
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\math_library.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 8, 0, 9
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\math_source_map.js", "JavaScript", 0, 0, 0, 0, 6686, 0, 0, 0, 0, 6686
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\99_external_libraries\p5.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\zz_auxiliary_code_and_examples\load_OBJ_with_textures.html", "HTML", 0, 0, 0, 135, 0, 0, 0, 0, 19, 154
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\zz_auxiliary_code_and_examples\plot_telemetry.html", "HTML", 0, 0, 0, 241, 0, 0, 0, 0, 24, 265
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\zz_auxiliary_code_and_examples\read_GLB_3D_file.html", "HTML", 0, 0, 0, 155, 0, 0, 0, 0, 24, 179
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\zz_auxiliary_code_and_examples\read_obj.html", "HTML", 0, 0, 0, 77, 0, 0, 0, 0, 13, 90
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\zz_auxiliary_code_and_examples\read_obj_from_code.html", "HTML", 0, 0, 0, 57, 0, 0, 0, 0, 10, 67
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\zz_auxiliary_code_and_examples\retro_text.html", "HTML", 0, 0, 0, 109, 0, 0, 0, 0, 23, 132
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\zz_auxiliary_code_and_examples\terrain.html", "HTML", 0, 0, 0, 124, 0, 0, 0, 2, 22, 148
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\zz_auxiliary_code_and_examples\testcontrol.html", "HTML", 0, 0, 0, 72, 0, 0, 0, 0, 9, 81
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\zz_auxiliary_code_and_examples\trajectory_as_line.html", "HTML", 0, 0, 0, 91, 0, 0, 0, 3, 23, 117
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟡JAVASCRIPT🟡\✅_front_end_and_client.html", "HTML", 0, 0, 0, 29, 0, 0, 0, 4, 16, 49
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\0_Aircraft_Model_and_Data\0.1_📊_aircraft_aerodynamic_and_propulsive_data.jl", "Julia", 0, 81, 0, 0, 0, 0, 0, 10, 39, 130
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\1_Maths\1.1_🔮_quaternions_and_transformations.jl", "Julia", 0, 45, 0, 0, 0, 0, 0, 19, 24, 88
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\1_Maths\1.2_🛠_auxiliary_functions.jl", "Julia", 0, 16, 0, 0, 0, 0, 0, 3, 7, 26
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\2_Physics\2.1_⭐_Runge_Kutta_4_integrator.jl", "Julia", 0, 53, 0, 0, 0, 0, 0, 28, 18, 99
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\2_Physics\2.2_🤸‍♀️_compute_6DOF_equations_of_motion.jl", "Julia", 0, 160, 0, 0, 0, 0, 0, 36, 52, 248
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\2_Physics\2.3_💥_handle_collisions.jl", "Julia", 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\3_Websockets_and_flight_data\3.1_🤝_Establish_WebSockets_connection.jl", "Julia", 0, 32, 0, 0, 0, 0, 0, 13, 11, 56
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\3_Websockets_and_flight_data\3.2_🔁_Update_and_transfer_aircraft_state.jl", "Julia", 0, 46, 0, 0, 0, 0, 0, 18, 12, 76
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\3_Websockets_and_flight_data\3.3_📈_record_and_save_flight_data.jl", "Julia", 0, 52, 0, 0, 0, 0, 0, 5, 15, 72
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\4_Atmosphere_and_anemometry\4.1_🎯_physical_constants.jl", "Julia", 0, 67, 0, 0, 0, 0, 0, 13, 14, 94
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\4_Atmosphere_and_anemometry\4.2_🌍_ISA76.jl", "Julia", 0, 71, 0, 0, 0, 0, 0, 2, 29, 102
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\4_Atmosphere_and_anemometry\4.3_🕑_anemometry.jl", "Julia", 0, 154, 0, 0, 0, 0, 0, 9, 74, 237
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\src\🟣JULIA🟣\5_Control_Laws_and_Systems_Dynamics\5.1_➰_Actuator_and_Engine_Dynamics.jl", "Julia", 0, 68, 0, 0, 0, 0, 0, 17, 20, 105
"Total", "-", 1, 879, 22506, 1090, 11708, 28, 35225, 76481, 4912, 152830
